time,adjust1,adjust2,adjust3,adjust4
9:12,0:02,0:06,0:11,0:18
9:22,0:02,0:06,0:11,0:18
9:34,0:02,0:06,0:11,0:19
9:45,0:02,0:07,0:12,0:20
9:58,0:02,0:07,0:12,0:20
10:10,0:02,0:07,0:12,0:20
10:23,0:02,0:07,0:12,0:21
10:37,0:02,0:07,0:12,0:21
10:51,0:02,0:08,0:13,0:22
11:06,0:02,0:08,0:13,0:22
11:22,0:02,0:08,0:13,0:22
11:38,0:03,0:08,0:14,0:23
11:56,0:03,0:09,0:15,0:24
12:14,0:03,0:09,0:15,0:25
12:33,0:03,0:09,0:15,0:26
12:53,0:03,0:09,0:16,0:26
13:14,0:03,0:09,0:16,0:27
13:36,0:03,0:10,0:16,0:28
14:00,0:03,0:10,0:17,0:28
14:25,0:03,0:10,0:17,0:29
14:52,0:03,0:11,0:18,0:31
15:20,0:03,0:11,0:18,0:31
15:50,0:04,0:11,0:19,0:32
16:22,0:04,0:12,0:20,0:34
16:57,0:05,0:13,0:21,0:36
17:34,0:05,0:13,0:22,0:37
18:14,0:05,0:14,0:23,0:38
18:56,0:05,0:14,0:24,0:40
19:43,0:05,0:15,0:25,0:42
20:33,0:05,0:15,0:26,0:43
21:28,0:06,0:17,0:28,0:46
22:28,0:06,0:18,0:29,0:49
23:34,0:06,0:18,0:31,0:51
24:46,0:06,0:19,0:32,0:54
26:06,0:07,0:20,0:34,0:57
59:59,0:08,0:22,0:37,1:02