push-up_rep,push-up_score,sit-up_rep,sit-up_score,run_time,run_score
62,20.0,56,20.0,9:22,60.0
61,19.7,55,19.5,9:23,59.5
60,19.4,54,19.0,9:46,59.0
59,19.0,53,18.8,9:59,58.5
58,18.8,52,18.4,10:23,58.0
57,18.6,51,18.0,10:37,57.5
56,18.4,50,17.6,10:51,57.0
55,18.2,49,17.4,11:06,56.5
54,18.0,48,17.0,11:22,56.0
53,17.8,47,16.6,11:38,55.5
52,17.6,46,16.0,11:56,55.0
51,17.5,45,15.0,12:14,54.5
50,17.4,44,14.0,12:33,54.0
49,17.2,43,13.0,12:53,53.5
48,17.0,42,12.6,13:14,52.0
47,16.8,41,12.0,13:36,50.5
46,16.6,40,9.0,14:00,49.0
45,16.2,39,6.0,14:25,46.5
44,16.0,38,3.0,14:52,44.0
43,15.6,inf,0.0,15:20,41.0
42,15.4,,,15:50,38.0
41,15.0,,,16:22,35.0
40,14.6,,,inf,0.0
39,14.4,,,,
38,14.0,,,,
37,13.6,,,,
36,13.0,,,,
35,12.6,,,,
34,12.0,,,,
33,11.6,,,,
32,11.0,,,,
31,10.6,,,,
30,10.0,,,,
29,7.0,,,,
28,4.0,,,,
27,1.0,,,,
inf,0.0,,,,